165,Brighton and Hove Albion,4-5-1,Liverpool,4-2-3-1,0,1,2018/19,Premier League
166,Burnley,4-4-2,Fulham,3-4-3,2,1,2018/19,Premier League
167,Cardiff City,4-1-4-1,Huddersfield Town,4-3-2-1,0,0,2018/19,Premier League
168,Crystal Palace,4-3-3,Watford,4-2-2-2,1,2,2018/19,Premier League
169,Leicester City,4-3-3,Southampton,3-4-2-1,1,2,2018/19,Premier League
170,Chelsea,4-3-3,Newcastle United,5-4-1,2,1,2018/19,Premier League
171,Manchester City,4-3-3,Liverpool,4-3-3,2,1,2018/19,Premier League
172,AFC Bournemouth,4-4-2,Watford,4-2-2-2,3,3,2018/19,Premier League
173,Chelsea,4-3-3,Southampton,5-4-1,0,0,2018/19,Premier League
174,Huddersfield Town,4-2-3-1,Burnley,4-4-2,1,2,2018/19,Premier League
175,West Ham United,4-4-2,Brighton and Hove Albion,4-5-1,2,2,2018/19,Premier League
176,Wolverhampton Wanderers,3-4-3,Crystal Palace,4-3-3,0,2,2018/19,Premier League
177,Newcastle United,5-4-1,Manchester United,4-2-3-1,0,2,2018/19,Premier League
178,Everton,4-2-3-1,Leicester City,4-3-3,0,1,2018/19,Premier League
179,Arsenal,3-4-2-1,Fulham,3-4-3,4,1,2018/19,Premier League
180,Cardiff City,4-1-4-1,Tottenham Hotspur,4-1-2-1-2,0,3,2018/19,Premier League
181,Crystal Palace,4-5-1,Chelsea,4-3-3,0,1,2018/19,Premier League
182,Burnley,4-4-2,West Ham United,4-4-2,2,0,2018/19,Premier League
183,Southampton,4-3-2-1,Manchester City,4-3-3,1,3,2018/19,Premier League
184,Manchester United,4-2-3-1,AFC Bournemouth,3-5-2,4,1,2018/19,Premier League
185,Brighton and Hove Albion,4-5-1,Everton,3-4-2-1,1,0,2018/19,Premier League
186,Fulham,3-4-2-1,Huddersfield Town,3-5-1-1,1,0,2018/19,Premier League
187,Leicester City,4-2-3-1,Cardiff City,4-1-4-1,0,1,2018/19,Premier League
188,Tottenham Hotspur,4-1-2-1-2,Wolverhampton Wanderers,3-4-2-1,1,3,2018/19,Premier League
189,Watford,4-2-2-2,Newcastle United,5-4-1,1,1,2018/19,Premier League
190,Liverpool,4-2-3-1,Arsenal,4-2-3-1,5,1,2018/19,Premier League
191,Southampton,3-4-2-1,West Ham United,4-2-3-1,1,2,2018/19,Premier League
192,Fulham,3-4-3,Wolverhampton Wanderers,3-4-1-2,1,1,2018/19,Premier League
